sample_ID,Salinity_raw,offset,Salinity,NO3+NO2 (umol/L),NO2 (umol/L),PO4 (umol/L),SiO2 (umol/L),NH3 (umol/L),rerun
M64,36.872,0.667,37.539,0.692,0,0,6.184,,
M79,33.245,0.667,33.912,1.927,0,0.176,15.606,,
M6,30.485,0.667,31.152,1.102,0,0,6.121,,
M33,15.272,0.667,15.939,2.253,0,0,21.499,,
M15,33.194,0.667,33.861,0,0,0,5.866,,
OA287,33.952,0.667,34.619,0.921,0,0,0,0.624,
OA358,33.805,0.667,34.472,1.611,0.104,0.087,2.639,1.203,
OA437,4.221,0.667,4.888,,0.433,1.059,,4.49,Y
OA133,27.981,0.667,28.648,,0.126,0.222,14.215,0.087,Y
OA563,33.697,0.667,34.364,0.225,0,0,5.389,1.116,
OA582,31.674,0.667,32.341,2.051,0.077,0.165,10.258,1.358,
OA50,34.196,0.667,34.863,0.096,0,0,1.401,0,
OA469,33.158,0.667,33.825,0.473,0,0.212,28.988,3.226,
OA367,34.28,0.667,34.947,0.712,0,0.201,2.166,1.707,
OA541,33.454,0.667,34.121,2.414,0,0,15.165,1.194,
OA207,30.284,0.667,30.951,0.359,0,0.096,2.465,0,
OA140,24.035,0.667,24.702,3.581,0.114,0.241,26.223,0.332,
OA323,33.088,0.667,33.755,3.652,0.077,0.192,45.257,0.866,
OA465,33.12,0.667,33.787,0.102,0,0,0,0.701,
OA608,32.911,0.667,33.578,4.375,0,0.137,26.743,1.585,
OA75,27.664,0.667,28.331,,0.285,0.772,,0.095,Y
OA39,31.377,0.667,32.044,5.56,0,0.251,40.128,0,
OA94,30.095,0.667,30.762,25.763,0.36,1.397,132.675,1.854,Y
OA173,6.814,0.667,7.481,,0.127,3.059,,2.127,Y
OA179,29.614,0.667,30.281,4.701,0.257,0.273,25.252,0.767,Y
OA181,30.974,0.667,31.641,3.427,0.072,0.521,88.09,1.44,
OA228,33.908,0.667,34.575,1.065,0,0.143,5.226,1.803,
OA267,32.882,0.667,33.549,,0,0.183,57.249,0.85,Y
OA284,33.924,0.667,34.591,1.227,0,0.077,7.138,0.843,
OA611,34.033,0.667,34.7,0.242,0,0,0,0,
M290,32.849,0.667,33.516,0.321,0,0.916,8.041,,
M171,31.631,0.667,32.298,0.438,0,1.723,38.139,,
M213,32.256,0.667,32.923,1.416,0.091,0.297,3.554,,
M219,33.562,0.667,34.229,2.968,0.143,0.195,6.253,,
M227,33.31,0.667,33.977,1.288,0.104,0.252,4.545,,
M289,33.738,0.667,34.405,0.887,0.082,0,4.169,,
M217,30.957,0.667,31.624,2.649,0.103,0.411,24.608,,
M299,32.67,0.667,33.337,0.744,0,0.806,27.298,,
M259,30.7,0.667,31.367,0.89,0,,79.854,,
M231,33.438,0.667,34.105,3.018,0.142,0.242,9.311,,
M226,31.098,0.667,,,,,,,
M237,29.867,0.667,30.534,0.726,0,0.851,8.919,,
M262,33.69,0.667,34.357,1.316,0.079,0.071,3.449,,
M272,31.074,0.667,31.741,1.938,0.103,0.123,3.532,,
M254,33.695,0.667,34.362,2.613,0.127,0.222,10.934,,
M279,33.555,0.667,34.222,0.898,0,0.125,1.641,,
M236,33.015,0.667,33.682,0.508,0,1.366,68.11,,
M294,32.648,0.667,33.315,0.943,0,0.377,14.029,,
M273,32.97,0.667,33.637,1.623,0.098,0.196,4.715,,
M268,33.461,0.667,34.128,1.133,0,0.267,3.949,,
M264,33.743,0.667,34.41,2.378,0.108,0.147,2.905,,
OA251,33.778,0.667,34.445,1.055,0.108,0.092,7.021,,
M242,33.664,0.667,34.331,1.957,0.106,0.099,4.545,,
M212,33.668,0.667,34.335,0.804,0.086,0.204,9.95,,
M220,33.873,0.667,34.54,1.579,0.096,0.096,4.127,,
M230,33.799,0.667,34.466,1.28,0.077,0.294,3.097,,
M142,27.583,0.667,28.25,,0.124,0.314,26.214,,
M143,32.985,0.667,33.652,16.0953,0.8549,0.5076,27.9927,1.8093,
M89,31.937,0.667,32.604,1.056,0,0.084,2.632,,
M125,28.907,0.667,29.574,,0.085,0.354,78.309,,
M148,33.384,0.667,34.051,6.543,0.129,0,4.003,,
M135,27.72,0.667,28.387,0.69,0,0.136,2.399,,
M11,32.854,0.667,33.521,1.753,0,0.083,5.176,,
M56,27.544,0.667,28.211,0.863,0,0.223,7.015,,
M179,28.363,0.667,29.03,1.048,0,0.098,6.208,,
M94,26.823,0.667,27.49,0.814,0,0.185,16.808,,
M73,33.07,0.667,33.737,3.062,0,0.376,22.31,,
